GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Academy Project,com.cegeka.academy.service.mapper,UserMapper,118,0,6,0,37,0,11,0,8,0
Academy Project,com.cegeka.academy.service.util,RandomUtil,9,0,0,0,3,0,3,0,3,0
Academy Project,com.cegeka.academy.web.rest.errors,ErrorConstants,22,0,0,0,7,0,1,0,1,0
Academy Project,com.cegeka.academy.web.rest.errors,EmailNotFoundException,6,0,0,0,2,0,1,0,1,0
Academy Project,com.cegeka.academy.web.rest.errors,ExceptionTranslator,197,0,14,0,46,0,14,0,7,0
Academy Project,com.cegeka.academy.web.rest.errors,InvalidPasswordException,6,0,0,0,2,0,1,0,1,0
Academy Project,com.cegeka.academy.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Academy Project,com.cegeka.academy.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Academy Project,com.cegeka.academy.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Academy Project,com.cegeka.academy.web.rest.errors,BadRequestAlertException,54,0,0,0,12,0,5,0,5,0
Academy Project,com.cegeka.academy.web.rest.vm,ManagedUserVM,20,0,0,0,7,0,4,0,4,0
Academy Project,com.cegeka.academy.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Academy Project,com.cegeka.academy.web.rest.vm,LoginVM,43,0,0,0,11,0,8,0,8,0
Academy Project,com.cegeka.academy,AcademyProjectApp,134,0,12,0,31,0,11,0,5,0
Academy Project,com.cegeka.academy,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Academy Project,com.cegeka.academy.config,LiquibaseConfiguration,67,0,2,0,17,0,3,0,2,0
Academy Project,com.cegeka.academy.config,DefaultProfileUtil,13,0,0,0,4,0,1,0,1,0
Academy Project,com.cegeka.academy.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
Academy Project,com.cegeka.academy.config,JacksonConfiguration,27,0,0,0,7,0,7,0,7,0
Academy Project,com.cegeka.academy.config,CacheConfiguration,82,0,2,0,22,0,7,0,6,0
Academy Project,com.cegeka.academy.config,SecurityConfiguration,212,0,0,0,52,0,5,0,5,0
Academy Project,com.cegeka.academy.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Academy Project,com.cegeka.academy.config,LoggingConfiguration,62,0,10,0,17,0,6,0,1,0
Academy Project,com.cegeka.academy.config,WebConfigurer,258,0,18,0,55,0,17,0,8,0
Academy Project,com.cegeka.academy.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Academy Project,com.cegeka.academy.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Academy Project,com.cegeka.academy.config,DatabaseConfiguration,7,0,0,0,2,0,1,0,1,0
Academy Project,com.cegeka.academy.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Academy Project,com.cegeka.academy.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Academy Project,com.cegeka.academy.repository,CustomAuditEventRepository,133,0,12,0,31,0,10,0,4,0
Academy Project,com.cegeka.academy.service,AuditEventService,52,0,0,0,12,0,4,0,4,0
Academy Project,com.cegeka.academy.service,UserService,607,0,12,0,160,0,35,0,29,0
Academy Project,com.cegeka.academy.service,MailService,183,0,2,0,40,0,7,0,6,0
Academy Project,com.cegeka.academy.web.rest,AccountResource,200,0,22,0,48,0,23,0,12,0
Academy Project,com.cegeka.academy.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Academy Project,com.cegeka.academy.web.rest,UserJWTController,67,0,2,0,13,0,3,0,2,0
Academy Project,com.cegeka.academy.web.rest,UserJWTController.JWTToken,13,0,0,0,6,0,3,0,3,0
Academy Project,com.cegeka.academy.web.rest,AuditResource,60,0,0,0,12,0,4,0,4,0
Academy Project,com.cegeka.academy.web.rest,UserResource,226,0,14,0,39,0,14,0,7,0
Academy Project,com.cegeka.academy.web.rest,ClientForwardController,5,0,0,0,2,0,2,0,2,0
Academy Project,com.cegeka.academy.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
Academy Project,com.cegeka.academy.security.jwt,TokenProvider,208,0,4,0,56,0,7,0,5,0
Academy Project,com.cegeka.academy.security.jwt,JWTFilter,51,0,8,0,14,0,7,0,3,0
Academy Project,com.cegeka.academy.config.audit,AuditEventConverter,124,0,16,0,29,0,13,0,5,0
Academy Project,com.cegeka.academy.service.dto,UserDTO,242,0,0,0,60,0,29,0,29,0
Academy Project,com.cegeka.academy.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Academy Project,com.cegeka.academy.aop.logging,LoggingAspect,177,0,10,0,24,0,10,0,5,0
Academy Project,com.cegeka.academy.security,SecurityUtils,99,0,4,0,23,0,13,0,11,0
Academy Project,com.cegeka.academy.security,SpringSecurityAuditorAware,8,0,0,0,2,0,2,0,2,0
Academy Project,com.cegeka.academy.security,DomainUserDetailsService,131,0,4,0,20,0,10,0,8,0
Academy Project,com.cegeka.academy.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
Academy Project,com.cegeka.academy.domain,User,196,0,8,0,50,0,34,0,30,0
Academy Project,com.cegeka.academy.domain,PersistentAuditEvent_,3,0,0,0,1,0,1,0,1,0
Academy Project,com.cegeka.academy.domain,UserChallenge_,3,0,0,0,1,0,1,0,1,0
Academy Project,com.cegeka.academy.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Academy Project,com.cegeka.academy.domain,Authority,45,0,4,0,11,0,8,0,6,0
Academy Project,com.cegeka.academy.domain,AbstractAuditingEntity,37,0,0,0,17,0,9,0,9,0
Academy Project,com.cegeka.academy.domain,PersistentAuditEvent,95,0,8,0,24,0,18,0,14,0
Academy Project,com.cegeka.academy.domain,User_,3,0,0,0,1,0,1,0,1,0
Academy Project,com.cegeka.academy.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Academy Project,com.cegeka.academy.domain,UserChallenge,56,0,0,0,15,0,9,0,9,0
